LAST_EXEC_TS	TCODE	TCODE_TEXT	ABAP_PROGRAM	USER_NAME	APP_NAME	EXEC_COUNT	TOTAL_EXEC_TIME_SEC	AVG_EXEC_TIME_SEC	MAX_EXEC_TIME_SEC	TOTAL_LOCK_WAIT_SEC	LOCK_WAIT_RATIO	ACCESSED_TABLES	SQL_TEXT
20260307095458229297000			CL_FML_DB_BUFFER_UTIL=========CP	SAPHANADB	ABAP:EEP	13,280	312.245000000	0.024000000	22.921000000	173.846000000	0.557	SAPHANADB.CKMLCR(65)	UPDATE "CKMLCR" SET "SALK3" = ( "SALK3" + CAST( ? AS DECIMAL(15,2) ) ) , "SALKV" = ( "SALKV" + CAST( ? AS DECIMAL(15,2) ) ) , "ZUUMB_O" = ( "ZUUMB_O" + CAST( ? AS DECIMAL(15,2) ) ) , "ABPRD_O" = ( "ABPRD_O" + CAST( ? AS DECIMAL(15,2) ) ) , "ABKDM_O" = ( "ABKDM_O" + CAST( ? AS DECIMAL(15,2) ) ) , "ZUPRD_O" = ( "ZUPRD_O" + CAST( ? AS DECIMAL(15,2) ) ) , "ZUKDM_O" = ( "ZUKDM_O" + CAST( ? AS DECIMAL(15,2) ) ) , "VPPRD_O" = ( "VPPRD_O" + CAST( ? AS DECIMAL(15,2) ) ) , "VPKDM_O" = ( "VPKDM_O" + CAST( ? AS DECIMAL(15,2) ) ) , "VPPBPRD_O" = ( "VPPBPRD_O" + CAST( ? AS DECIMAL(15,2) ) ) , "VPPBKDM_O" = ( "VPPBKDM_O" + CAST( ? AS DECIMAL(15,2) ) ) , "VNPRD_O" = ( "VNPRD_O" + CAST( ? AS DECIMAL(15,2) ) ) , "VNKDM_O" = ( "VNKDM_O" + CAST( ? AS DECIMAL(15,2) ) ) , "EKPRD_O" = ( "EKPRD_O" + CAST( ? AS DECIMAL(15,2) ) ) , "EKKDM_O" = ( "EKKDM_O" + CAST( ? AS DECIMAL(15,2) ) ) , "PBPRD_O" = ( "PBPRD_O" + CAST( ? AS DECIMAL(15,2) ) ) , "PBKDM_O" = ( "PBKDM_O" + CAST( ? AS DECIMAL(15,2) ) ) , "VNPRD_EA" = ( "VNPRD_EA" + CAST( ? AS DECIMAL(15,2) ) ) , "VNKDM_EA" = ( "VNKDM_EA" + CAST( ? AS DECIMAL(15,2) ) ) , "EBPRD_EA" = ( "EBPRD_EA" + CAST( ? AS DECIMAL(15,2) ) ) , "EBKDM_EA" = ( "EBKDM_EA" + CAST( ? AS DECIMAL(15,2) ) ) , "PEINH" = ? , "WAERS" = ? , "VPRSV" = ? , "STPRS" = ? , "PVPRS" = ? , "ZUUMB_A" = ( "ZUUMB_A" + CAST( ? AS DECIMAL(15,2) ) ) , "ZUPRD_A" = ( "ZUPRD_A" + CAST( ? AS DECIMAL(15,2) ) ) , "ZUKDM_A" = ( "ZUKDM_A" + CAST( ? AS DECIMAL(15,2) ) ) , "EKPRD_A" = ( "EKPRD_A" + CAST( ? AS DECIMAL(15,2) ) ) , "EKKDM_A" = ( "EKKDM_A" + CAST( ? AS DECIMAL(15,2) ) ) , "PBPRD_A" = ( "PBPRD_A" + CAST( ? AS DECIMAL(15,2) ) ) , "PBKDM_A" = ( "PBKDM_A" + CAST( ? AS DECIMAL(15,2) ) ) , "ABPRD_MO" = ( "ABPRD_MO" + CAST( ? AS DECIMAL(15,2) ) ) , "ABKDM_MO" = ( "ABKDM_MO" + CAST( ? AS DECIMAL(15,2) ) ) , "ZUPRD_MO" = ( "ZUPRD_MO" + CAST( ? AS DECIMAL(15,2) ) ) , "ZUKDM_MO" = ( "ZUKDM_MO" + CAST( ? AS DECIMAL(15,2) ) ) , "VNPRD_MA" = ( "VNPRD_MA" + CAST( ? AS DECIMAL(15,2) ) ) , "VNKDM_MA" = ( "VNKDM_MA" + CAST( ? AS DECIMAL(15,2) ) ) , "EBPRD_MA" = ( "EBPRD_MA" + CAST( ? AS DECIMAL(15,2) ) ) , "EBKDM_MA" = ( "EBKDM_MA" + CAST( ? AS DECIMAL(15,2) ) ) , "ZUKDM_OST" = ( "ZUKDM_OST" + CAST( ? AS DECIMAL(15,2) ) ) , "EKKDM_OST" = ( "EKKDM_OST" + CAST( ? AS DECIMAL(15,2) ) ) , "PBKDM_OST" = ( "PBKDM_OST" + CAST( ? AS DECIMAL(15,2) ) ) , "VPKDM_OST" = ( "VPKDM_OST" + CAST( ? AS DECIMAL(15,2) ) ) , "VPPBKDM_OST" = ( "VPPBKDM_OST" + CAST( ? AS DECIMAL(15,2) ) ) , "VNKDM_OST" = ( "VNKDM_OST" + CAST( ? AS DECIMAL(15,2) ) ) , "MARKUP_O" = ( "MARKUP_O" + CAST( ? AS DECIMAL(15,2) ) ) WHERE "MANDT" = ? AND "KALNR" = ? AND "BDATJ" = ? AND "POPER" = ? AND "UNTPER" = ? AND "CURTP" = ?
20260307155406112123000	ZSDR28490	[퀵커머스] 행사 상품 연계	ZSDR28490	SAPHANADB	ABAP:EEP	45,125	209.147000000	0.005000000	74.804000000	74.795000000	0.358	SAPHANADB.ZSDT28490(8)	UPDATE "ZSDT28490" SET "ZIFFLAG" = ? , "IF_SEND_FLAG" = ? , "IF_SEND_DATE" = ? , "IF_SEND_TIME" = ? , "ZUDNAME" = ? , "ZUDSDATE" = ? , "ZUDSTIME" = ? , "ZUDLDATE" = ? , "ZUDLTIME" = ? WHERE "MANDT" = ? AND "ZBIZTPCD" = ? AND "ZQUICK" = ? AND "ZQPRODUCTID" = ? AND "ZSERIAL_NO" = ? AND "WERKS" = ? AND "ZBASE_DATE" BETWEEN ? AND ? AND "ZBASE_TIME" BETWEEN ? AND ?
20260307114902205487000	ZSDR28490	[퀵커머스] 행사 상품 연계	ZSDR28490	SAPHANADB	ABAP:EEP	34,484	134.874000000	0.004000000	41.798000000	41.791000000	0.31	SAPHANADB.ZSDT28490(8)	UPDATE "ZSDT28490" SET "ZIFFLAG" = ? , "IF_SEND_FLAG" = ? , "IF_SEND_DATE" = ? , "IF_SEND_TIME" = ? , "ZUDNAME" = ? , "ZUDSDATE" = ? , "ZUDSTIME" = ? , "ZUDLDATE" = ? , "ZUDLTIME" = ? WHERE "MANDT" = ? AND "ZBIZTPCD" = ? AND "ZQUICK" = ? AND "ZQPRODUCTID" = ? AND "ZSERIAL_NO" = ? AND "WERKS" = ? AND "ZBASE_DATE" BETWEEN ? AND ? AND "ZBASE_TIME" BETWEEN ? AND ?
20260307165458530215000			/SCWM/SAPLHU_TO_UPD	SAPHANADB	ABAP:EEP	2,005	12.828000000	0.006000000	1.390000000	11.681000000	0.911	SAPHANADB./SCWM/LAGP(6)	SELECT "MANDT" , "LGNUM" , "LGPLA" , "LGTYP" , "LGBER" , "LPTYP" , "BIN_AT" , "PLAUF" , "PLPOS" , "SKZUA" , "SKZUE" , "SKZSI" , "FLGSBIN" , "ANZLE" , "MAXLE" , "MAX_WEIGHT" , "UNIT_W" , "WEIGHT" , "VOLUM" , "MAX_VOLUME" , "UNIT_V" , "MAX_CAPA" , "FCAPA" , "KZLER" , "KZVOL" , "PTWY_DATE" , "MOVED_AT" , "BTANR" , "CLEARED_AT" , "KZINV" , "IDATU" , "IYEAR" , "IVNUM" , "IVPOS" , "MRL_IDATU" , "MRL_IYEAR" , "MRL_IVNUM" , "MRL_IVPOS" , "BRAND" , "UNAME" , "LAEDT" , "VERIF" , "LGPLA_MAIN" , "GUID_LOC" , "GUID_HU" , "AISLE" , "STACK" , "LVL_V" , "BINSC" , "DEPTH" , "X_CORD" , "Y_CORD" , "Z_CORD" , "FIXBINTYP" , "LGBER_LGST" , "CLSP_SORT" , "ANGLE" , "REC_GRP" , "REM_BIN_DEPTH" , "MAX_BIN_DEPTH" , "PBV_VERIF" FROM "/SCWM/LAGP" WHERE "MANDT" = ? AND "LGNUM" = ? AND "LGPLA" = ? FOR UPDATE
20260307155505672846000			SAPLSNR3	SAPHANADB	ABAP:EEP	9,289	10.908000000	0.001000000	1.503000000	9.818000000	0.9	SAPHANADB.NRIV(3)	SELECT "CLIENT" , "OBJECT" , "SUBOBJECT" , "NRRANGENR" , "TOYEAR" , "FROMNUMBER" , "TONUMBER" , "NRLEVEL" , "EXTERNIND" FROM "NRIV" WHERE "CLIENT" = ? AND "OBJECT" = ? AND "SUBOBJECT" = ? AND "NRRANGENR" = ? AND "TOYEAR" = ? FOR UPDATE
20260307125456340079000			/SCWM/SAPLHU_TO_UPD	SAPHANADB	ABAP:EEP	879	9.650000000	0.011000000	1.407000000	9.069000000	0.94	SAPHANADB./SCWM/LAGP(6)	SELECT "MANDT" , "LGNUM" , "LGPLA" , "LGTYP" , "LGBER" , "LPTYP" , "BIN_AT" , "PLAUF" , "PLPOS" , "SKZUA" , "SKZUE" , "SKZSI" , "FLGSBIN" , "ANZLE" , "MAXLE" , "MAX_WEIGHT" , "UNIT_W" , "WEIGHT" , "VOLUM" , "MAX_VOLUME" , "UNIT_V" , "MAX_CAPA" , "FCAPA" , "KZLER" , "KZVOL" , "PTWY_DATE" , "MOVED_AT" , "BTANR" , "CLEARED_AT" , "KZINV" , "IDATU" , "IYEAR" , "IVNUM" , "IVPOS" , "MRL_IDATU" , "MRL_IYEAR" , "MRL_IVNUM" , "MRL_IVPOS" , "BRAND" , "UNAME" , "LAEDT" , "VERIF" , "LGPLA_MAIN" , "GUID_LOC" , "GUID_HU" , "AISLE" , "STACK" , "LVL_V" , "BINSC" , "DEPTH" , "X_CORD" , "Y_CORD" , "Z_CORD" , "FIXBINTYP" , "LGBER_LGST" , "CLSP_SORT" , "ANGLE" , "REC_GRP" , "REM_BIN_DEPTH" , "MAX_BIN_DEPTH" , "PBV_VERIF" FROM "/SCWM/LAGP" WHERE "MANDT" = ? AND "LGNUM" = ? AND "LGPLA" = ? FOR UPDATE
20260307155450772027000			/SCWM/SAPLHU_TO_UPD	SAPHANADB	ABAP:EEP	1,151	8.883000000	0.008000000	1.886000000	8.217000000	0.925	SAPHANADB./SCWM/LAGP(6)	SELECT "MANDT" , "LGNUM" , "LGPLA" , "LGTYP" , "LGBER" , "LPTYP" , "BIN_AT" , "PLAUF" , "PLPOS" , "SKZUA" , "SKZUE" , "SKZSI" , "FLGSBIN" , "ANZLE" , "MAXLE" , "MAX_WEIGHT" , "UNIT_W" , "WEIGHT" , "VOLUM" , "MAX_VOLUME" , "UNIT_V" , "MAX_CAPA" , "FCAPA" , "KZLER" , "KZVOL" , "PTWY_DATE" , "MOVED_AT" , "BTANR" , "CLEARED_AT" , "KZINV" , "IDATU" , "IYEAR" , "IVNUM" , "IVPOS" , "MRL_IDATU" , "MRL_IYEAR" , "MRL_IVNUM" , "MRL_IVPOS" , "BRAND" , "UNAME" , "LAEDT" , "VERIF" , "LGPLA_MAIN" , "GUID_LOC" , "GUID_HU" , "AISLE" , "STACK" , "LVL_V" , "BINSC" , "DEPTH" , "X_CORD" , "Y_CORD" , "Z_CORD" , "FIXBINTYP" , "LGBER_LGST" , "CLSP_SORT" , "ANGLE" , "REC_GRP" , "REM_BIN_DEPTH" , "MAX_BIN_DEPTH" , "PBV_VERIF" FROM "/SCWM/LAGP" WHERE "MANDT" = ? AND "LGNUM" = ? AND "LGPLA" = ? FOR UPDATE
20260307095453572607000			/SCWM/SAPLHU_TO_UPD	SAPHANADB	ABAP:EEP	2,141	9.151000000	0.004000000	0.422000000	7.789000000	0.851	SAPHANADB./SCWM/HUHDR(57)	SELECT "MANDT" , "GUID_HU" , "HUIDENT" , "PMAT_GUID" , "CREATED_BY" , "CREATED_AT" , "ORIG_SYSTEM" , "CHANGED_BY" , "CHANGED_AT" , "G_WEIGHT" , "N_WEIGHT" , "UNIT_GW" , "T_WEIGHT" , "UNIT_TW" , "G_VOLUME" , "N_VOLUME" , "UNIT_GV" , "T_VOLUME" , "UNIT_TV" , "G_CAPA" , "N_CAPA" , "T_CAPA" , "LENGTH" , "WIDTH" , "HEIGHT" , "UNIT_LWH" , "MAX_WEIGHT" , "TOLW" , "TARE_VAR" , "MAX_VOLUME" , "TOLV" , "CLOSED_PACKAGE" , "MAX_CAPA" , "TOLC" , "MAX_LENGTH" , "MAX_WIDTH" , "MAX_HEIGHT" , "UNIT_MAX_LWH" , "LGNUM" , "VHI" , "LETYP" , "FLGAVQ" , "FLGMOVE" , "PROCS" , "COPST" , "PRCES" , "DSTGRP" , "WKLID" , "ENTITLED" , "WSTYP" , "WSSEC" , "WSBIN" , "WCR" , "IPICK" , "MFSERROR" , "WTCONF" , "UKCON" , "TRANSIT" , "MFS_STOCKTRANS_CNT" , "FLGTWEXT" , "PMTYP" , "PACKGR" , "SAPRL" , "PHYSTAT" , "TOP" , "BOTTOM" , "STSMA" , "PS_GUID" , "PS_LEVEL_SEQ" , "OBJREF" , "HZMT" , "LOGPOS" , "HU_GUID_EXT" , "LOGPOS_EXT" , "AUTO_CREA_PICK" , "HUHDR_DUMMY" , "ZZQUAN_1ST_PACK_AT" , "ZZQUAN_1ST_PACK_BY" , "ZZQUAN_LAST_PACK_AT" , "ZZQUAN_LAST_PACK_BY" , "ZZHU_1ST_COMP_AT" , "ZZHU_1ST_COMP_BY" , "ZZHU_LAST_COMP_AT" , "ZZHU_LAST_COMP_BY" , "ZZHU_1ST_LOAD_AT" , "ZZHU_1ST_LOAD_BY" , "ZZHU_LAST_LOAD_AT" , "ZZHU_LAST_LOAD_BY" , "ZZWORKSTATION_F" , "ZZWORKSTATION_L" , "ZZPLT_FIXTURE" , "ZZPLT_FIXTURE_SEQ" , "ZZPLT_FIXTURE_WGT" , "ZZPLT_FIXTURE_WGT_UNIT" , "ZZBOX_FIXTURE" , "ZZBOX_FIXTURE_CNT" , "ZZBOX_FIXTURE_TOT_WGT" , "ZZBOX_FIXTURE_UNT_WGT" , "ZZBOX_FIXTURE_WGT_UNIT" , "ZZHU_MEMO_TEXT" FROM "/SCWM/HUHDR" WHERE "MANDT" = ? AND "GUID_HU" = ? FOR UPDATE
20260307105447823547000			/SCWM/SAPLHU_TO_UPD	SAPHANADB	ABAP:EEP	2,832	8.425000000	0.003000000	0.512000000	6.576000000	0.78	SAPHANADB./SCWM/HUHDR(57)	SELECT "MANDT" , "GUID_HU" , "HUIDENT" , "PMAT_GUID" , "CREATED_BY" , "CREATED_AT" , "ORIG_SYSTEM" , "CHANGED_BY" , "CHANGED_AT" , "G_WEIGHT" , "N_WEIGHT" , "UNIT_GW" , "T_WEIGHT" , "UNIT_TW" , "G_VOLUME" , "N_VOLUME" , "UNIT_GV" , "T_VOLUME" , "UNIT_TV" , "G_CAPA" , "N_CAPA" , "T_CAPA" , "LENGTH" , "WIDTH" , "HEIGHT" , "UNIT_LWH" , "MAX_WEIGHT" , "TOLW" , "TARE_VAR" , "MAX_VOLUME" , "TOLV" , "CLOSED_PACKAGE" , "MAX_CAPA" , "TOLC" , "MAX_LENGTH" , "MAX_WIDTH" , "MAX_HEIGHT" , "UNIT_MAX_LWH" , "LGNUM" , "VHI" , "LETYP" , "FLGAVQ" , "FLGMOVE" , "PROCS" , "COPST" , "PRCES" , "DSTGRP" , "WKLID" , "ENTITLED" , "WSTYP" , "WSSEC" , "WSBIN" , "WCR" , "IPICK" , "MFSERROR" , "WTCONF" , "UKCON" , "TRANSIT" , "MFS_STOCKTRANS_CNT" , "FLGTWEXT" , "PMTYP" , "PACKGR" , "SAPRL" , "PHYSTAT" , "TOP" , "BOTTOM" , "STSMA" , "PS_GUID" , "PS_LEVEL_SEQ" , "OBJREF" , "HZMT" , "LOGPOS" , "HU_GUID_EXT" , "LOGPOS_EXT" , "AUTO_CREA_PICK" , "HUHDR_DUMMY" , "ZZQUAN_1ST_PACK_AT" , "ZZQUAN_1ST_PACK_BY" , "ZZQUAN_LAST_PACK_AT" , "ZZQUAN_LAST_PACK_BY" , "ZZHU_1ST_COMP_AT" , "ZZHU_1ST_COMP_BY" , "ZZHU_LAST_COMP_AT" , "ZZHU_LAST_COMP_BY" , "ZZHU_1ST_LOAD_AT" , "ZZHU_1ST_LOAD_BY" , "ZZHU_LAST_LOAD_AT" , "ZZHU_LAST_LOAD_BY" , "ZZWORKSTATION_F" , "ZZWORKSTATION_L" , "ZZPLT_FIXTURE" , "ZZPLT_FIXTURE_SEQ" , "ZZPLT_FIXTURE_WGT" , "ZZPLT_FIXTURE_WGT_UNIT" , "ZZBOX_FIXTURE" , "ZZBOX_FIXTURE_CNT" , "ZZBOX_FIXTURE_TOT_WGT" , "ZZBOX_FIXTURE_UNT_WGT" , "ZZBOX_FIXTURE_WGT_UNIT" , "ZZHU_MEMO_TEXT" FROM "/SCWM/HUHDR" WHERE "MANDT" = ? AND "GUID_HU" = ? FOR UPDATE
20260307125456647359000			/SCWM/SAPLHU_TO_UPD	SAPHANADB	ABAP:EEP	1,390	6.845000000	0.005000000	0.529000000	5.832000000	0.852	SAPHANADB./SCWM/HUHDR(57)	SELECT "MANDT" , "GUID_HU" , "HUIDENT" , "PMAT_GUID" , "CREATED_BY" , "CREATED_AT" , "ORIG_SYSTEM" , "CHANGED_BY" , "CHANGED_AT" , "G_WEIGHT" , "N_WEIGHT" , "UNIT_GW" , "T_WEIGHT" , "UNIT_TW" , "G_VOLUME" , "N_VOLUME" , "UNIT_GV" , "T_VOLUME" , "UNIT_TV" , "G_CAPA" , "N_CAPA" , "T_CAPA" , "LENGTH" , "WIDTH" , "HEIGHT" , "UNIT_LWH" , "MAX_WEIGHT" , "TOLW" , "TARE_VAR" , "MAX_VOLUME" , "TOLV" , "CLOSED_PACKAGE" , "MAX_CAPA" , "TOLC" , "MAX_LENGTH" , "MAX_WIDTH" , "MAX_HEIGHT" , "UNIT_MAX_LWH" , "LGNUM" , "VHI" , "LETYP" , "FLGAVQ" , "FLGMOVE" , "PROCS" , "COPST" , "PRCES" , "DSTGRP" , "WKLID" , "ENTITLED" , "WSTYP" , "WSSEC" , "WSBIN" , "WCR" , "IPICK" , "MFSERROR" , "WTCONF" , "UKCON" , "TRANSIT" , "MFS_STOCKTRANS_CNT" , "FLGTWEXT" , "PMTYP" , "PACKGR" , "SAPRL" , "PHYSTAT" , "TOP" , "BOTTOM" , "STSMA" , "PS_GUID" , "PS_LEVEL_SEQ" , "OBJREF" , "HZMT" , "LOGPOS" , "HU_GUID_EXT" , "LOGPOS_EXT" , "AUTO_CREA_PICK" , "HUHDR_DUMMY" , "ZZQUAN_1ST_PACK_AT" , "ZZQUAN_1ST_PACK_BY" , "ZZQUAN_LAST_PACK_AT" , "ZZQUAN_LAST_PACK_BY" , "ZZHU_1ST_COMP_AT" , "ZZHU_1ST_COMP_BY" , "ZZHU_LAST_COMP_AT" , "ZZHU_LAST_COMP_BY" , "ZZHU_1ST_LOAD_AT" , "ZZHU_1ST_LOAD_BY" , "ZZHU_LAST_LOAD_AT" , "ZZHU_LAST_LOAD_BY" , "ZZWORKSTATION_F" , "ZZWORKSTATION_L" , "ZZPLT_FIXTURE" , "ZZPLT_FIXTURE_SEQ" , "ZZPLT_FIXTURE_WGT" , "ZZPLT_FIXTURE_WGT_UNIT" , "ZZBOX_FIXTURE" , "ZZBOX_FIXTURE_CNT" , "ZZBOX_FIXTURE_TOT_WGT" , "ZZBOX_FIXTURE_UNT_WGT" , "ZZBOX_FIXTURE_WGT_UNIT" , "ZZHU_MEMO_TEXT" FROM "/SCWM/HUHDR" WHERE "MANDT" = ? AND "GUID_HU" = ? FOR UPDATE
