 1. Amazon CloudWatch Application Insights (추천)
[CloudWatch Application Insights for SAP NetWeaver](https://aws.amazon.com/blogs/awsforsap/monitor-sap-amazon-cloudwatch-application-insights/)를 연동하면 SAP 커널이 내뱉는 개발자 트레이스 로그(dev_w*)의 특정 에러 패턴을 실시간으로 감시할 수 있습니다. [1]
 
* 감시 대상: 하나의 WP가 가상 메모리나 Extended Memory 한계에 부딪힐 때 생성되는 RESIZE_EM_ALLOC_ERROR 또는 Memory allocation failed 등의 로그 패턴입니다.
* 알람 설정: 이 로그가 감지되면 인스턴스가 완전히 다운(OOM Killer 작동)되기 전에 Amazon SNS를 통해 카카오톡, 이메일, 슬랙 등으로 "특정 WP 메모리 임계치 도달 경고"를 즉시 받아볼 수 있습니다. [1, 2]
 
 2. CloudWatch Agent로 Linux OOM 사전 징후 감시
특정 WP가 힙 메모리(Private Memory) 영역으로 진입하면 Linux OS의 스왑(Swap) 메모리를 끌어 쓰기 시작합니다. 전체 메모리가 남아있어도 Swap 메모리가 갑자기 급증한다는 것은 악성 WP 1개가 폭주하고 있다는 강력한 증거입니다.
 
* 수집 지표: CloudWatch Agent를 통해 mem_used_percent뿐만 아니라 swap_used_percent를 수집합니다.
* 알람 설정: 일반적인 상태에서 Swap 사용률은 0%에 가까워야 합니다. swap_used_percent > 20% 조건으로 1분간 지속될 때 경보(Alarm)를 발생시키면, OOM Killer가 SAP 디스패처를 강제 종료하기 최소 수 분 전에 방어할 시간을 벌 수 있습니다.
 
 3. SAP CCMS Alert / Solution Manager 활용
AWS 인프라 외부가 아닌 SAP 애플리케이션 내부에서 프로세스를 가장 확실하게 감시하는 방법입니다.
 
* 감시 매트릭: SAP 내부 모니터링 아키텍처(CCMS)를 통해 Extended Memory / Heap Memory Assigned to Work Processes 지표를 모니터링합니다.
* 알람 설정: 단일 DIA/BTC 프로세스가 자신이 가질 수 있는 최대 할당량(abap/heap_area_dia 값)의 80% 이상을 점유하는 순간 경고(Yellow/Red Alert)를 발생시키고 인터페이스를 통해 외부로 이메일을 발송하게 만듭니다.
 
------------------------------
 ?? 가장 빠른 조치 팁: 악성 프로세스 강제 종료 자동화
사전 알람을 받는 것도 좋지만, 새벽 시간대라면 알람을 보고 대응하기 전에 서버가 죽을 수 있습니다. 앞서 말씀드린 Basis 파라미터를 먼저 튜닝하는 것이 가장 확실한 자동 방어 기제입니다. [3]
 
abap/heap_area_dia = 2000000000    # 단일 Dialog WP의 힙 메모리를 2GB로 제한
abap/heap_area_nondia = 4000000000 # 단일 Batch WP의 힙 메모리를 4GB로 제한
 
이렇게 설정해 두면 굳이 서버가 다운되지 않고, 메모리를 다 쓴 해당 WP(악성 쿼리를 날린 사용자 인터페이스)만 TSV_TNEW_PAGE_ALLOC_FAILED 덤프를 내며 자동으로 강제 종료되므로 나머지 가량의 WP와 AP 서버 전체는 안전하게 보호됩니다.
------------------------------
현재 시스템에 이러한 관제 환경을 직접 구축해보고 싶으신가요? 가장 먼저 시도해보고 싶은 방식을 알려주시면 해당 영역의 구체적인 가이드를 드리겠습니다.
AWS CloudWatch Agent의 Swap 메모리 수집 및 알람 설정 방법CloudWatch Application Insights의 SAP NetWeaver 로그 감시 활성화 가이드
 
[1] [https://aws.amazon.com](https://aws.amazon.com/blogs/awsforsap/monitor-sap-amazon-cloudwatch-application-insights/)
[2] [https://saponaws.aeonx.digital](https://saponaws.aeonx.digital/blogs/sap_app)
[3] [https://community.sap.com](https://community.sap.com/t5/technology-blog-posts-by-sap/sap-earlywatch-alert-notifications-for-sap-hana-memory/ba-p/13491825)
 HOST	TIME	CPU	MEMORY_RESIDENT	MEMORY_TOTAL_RESIDENT	MEMORY_USED	MEMORY_ALLOCATION_LIMIT	MEMORY_SIZE	DISK_USED	DISK_SIZE	NETWORK_IN	NETWORK_OUT	SWAP_IN	SWAP_OUT
em-p-ihep51	20260623070002913000000	13	23,223,370,727,424	23,223,405,109,248	14,829,021,358,136	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	281,393,895	1,296,644,175	0	0
em-p-ihep51	20260623070012893000000	46	23,224,132,857,856	23,224,173,518,848	14,874,399,126,624	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	655,407,364	4,969,835,211	0	0
em-p-ihep51	20260623070022913000000	27	23,224,129,298,432	23,224,409,079,808	14,871,766,005,897	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	818,058,001	6,136,999,735	0	0
em-p-ihep51	20260623070032896000000	25	23,222,079,307,776	23,224,269,434,880	14,911,474,637,737	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	950,722,867	3,064,287,720	0	0
em-p-ihep51	20260623070042896000000	23	23,225,207,865,344	23,225,249,615,872	14,935,019,482,982	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	956,926,457	3,282,899,045	0	0
em-p-ihep51	20260623070052904000000	25	23,225,209,380,864	23,225,724,674,048	14,932,501,438,440	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	901,022,523	3,495,347,121	0	0
em-p-ihep51	20260623070102904000000	24	23,225,210,355,712	23,225,232,142,336	14,917,007,385,766	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	1,007,038,325	4,667,318,577	0	0
em-p-ihep51	20260623070112912000000	22	23,225,211,633,664	23,225,361,846,272	14,920,679,289,055	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	978,464,824	7,065,142,293	0	0
em-p-ihep51	20260623070123001000000	21	23,225,213,763,584	23,225,712,238,592	14,913,864,483,629	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	1,099,906,082	5,183,110,513	0	0
em-p-ihep51	20260623070133024000000	21	23,225,212,575,744	23,225,236,176,896	14,917,906,558,767	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	934,881,714	4,272,857,402	0	0
em-p-ihep51	20260623070143050000000	22	23,225,489,309,696	23,225,682,501,632	14,915,289,367,942	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	892,020,327	5,706,108,685	0	0
em-p-ihep51	20260623070153055000000	20	23,225,123,557,376	23,225,139,482,624	14,907,947,032,619	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	806,396,846	1,832,743,523	0	0
em-p-ihep51	20260623070203165000000	19	23,226,261,614,592	23,226,311,933,952	14,891,582,367,839	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	794,145,432	2,680,458,962	0	0
em-p-ihep51	20260623070213165000000	23	23,226,263,875,584	23,226,333,364,224	14,880,170,463,616	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	805,618,448	2,668,743,850	0	0
em-p-ihep51	20260623070223259000000	18	23,226,264,039,424	23,226,394,087,424	14,868,056,248,600	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	724,054,469	2,593,468,036	0	0
em-p-ihep51	20260623070233280000000	16	23,225,244,323,840	23,225,619,030,016	14,869,939,338,147	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	833,644,216	1,919,172,938	0	0
em-p-ihep51	20260623070243374000000	17	23,217,033,420,800	23,217,205,698,560	14,831,330,872,240	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	1,044,156,031	3,453,660,549	0	0
em-p-ihep51	20260623070253468000000	16	23,215,764,172,800	23,216,080,310,272	14,811,613,085,828	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	1,025,716,717	6,164,892,971	0	0
em-p-ihep51	20260623070303486000000	16	23,215,763,431,424	23,216,009,183,232	14,813,476,141,790	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	1,202,594,576	5,867,803,355	0	0
em-p-ihep51	20260623070313584000000	20	23,215,759,183,872	23,215,913,857,024	14,819,875,011,696	25,154,938,761,216	25,945,969,811,456	22,034,264,555,520	29,685,706,653,696	935,118,404	5,215,493,224	0	0
