LAST_EXEC_TS	TCODE	TCODE_TEXT	ABAP_PROGRAM	EXEC_COUNT	TOTAL_EXEC_TIME_SEC	AVG_EXEC_TIME_SEC	MAX_EXEC_TIME_SEC	MIN_EXECUTION_MEMORY_SIZE	MAX_EXECUTION_MEMORY_SIZE	TOTAL_EXECUTION_MEMORY_SIZE	SQL_TEXT
20260624174051470981000			CL_NSDM_MTDCSA_PRECOMP========CP	117,515	8,545.105000000	0.073000000	14.349000000	702,328	70,813,520	230,298,223,040	DELETE FROM "MATDOC_EXTRACT" WHERE "MANDT" = ? AND "KEY1" = ? AND "KEY2" = ? AND "KEY3" = ? AND "KEY4" = ? AND "KEY5" = ? AND "KEY6" = ?
20260624174352898616000			CL_FML_ACDOCA_M_EXT_UTIL_AMDP=CP	5,558	7,181.418000000	1.292000000	4.398000000	31,050,336	101,836,368	193,981,213,416	CALL  "CL_FML_ACDOCA_M_EXT_UTIL_AMDP=>PRE_COMPACT_AMDP_PLL#stb2#20230119004507"  (  ? ,  ? ,  ? ,  ? ,  ? ,  ? ,  ? ,  ?  )
20260624174353201101000			CL_FML_ACDOCA_M_EXT_UTIL_AMDP=CP	5,558	5,337.939000000	0.960000000	3.610000000	2,887,248	22,631,920	43,238,972,856	"/* procedure: ""SAPHANADB"".""CL_FML_ACDOCA_M_EXT_UTIL_AMDP=>PRE_COMPACT_AMDP_PLL"" line: 291 col: 6 (at pos 11838) */ upsert ""CL_FML_ACDOCA_M_EXT_UTIL_AMDP=>ACDOCA_M_EXTRACT#covw"" ( rclnt,
                               rldnr,
                               rbukrs,
                               kalnr,
                              fiscyearper,
                               belnr,
                               docln,
                               matnr,
                               bwkey,
                               bwtar,
                               ryear,
                               poper,
                               ml_sobkz,
                               ml_kdauf,
                               ml_kdpos,
                               ml_lifnr,
                               ml_pspnr,
                               vmsl,
                               hsl,
                               ksl,
                               osl,
                               vsl,
                               bsl,
                               csl,
                               dsl,
                               esl,
                               fsl,
                               gsl,
                               hvkwrt,
                               sdm_version )
                       select * from ""SYS"".""_SYS_SS2_TMP_TABLE_38093136_LT_FOR_UPSERT_2_17CF896F725EC54687AE2685F5B7AB7D_3"" ""LT_FOR_UPSERT"""
20260624145440871593000			SAPLZMM011	9,219	4,821.015000000	0.523000000	5.157000000	946,672	4,332,105,080	3,324,507,111,092	SELECT /* FDA WRITE */ "A" . "WERKS" , "A" . "LGORT" , "B" . "MATNR" , "A" . "QTY_CHANGE" FROM /* Entity name: ZCDS_MM_TODAY_MAT_DDL_V2 */ "ZCDSMM0201" ( "P_FRTIM" => ? , "P_TOTIM" => ? , "P_DATS" => ? ) "A" INNER JOIN ? "B" ("WERKS" NVARCHAR(4), "LGORT" NVARCHAR(4), "MATNR" NVARCHAR(40)) ON "A" . "WERKS" = "B" . "WERKS" AND "A" . "LGORT" = "B" . "LGORT" AND "A" . "MATNR" = "B" . "MATNR" WHERE "A" . "MANDT" = ?
20260624135430492399000			SAPLFCML4H_DOC_COMPRESS	277	3,601.667000000	13.002000000	21.044000000	1,309,480	5,773,660,312	1,342,453,842,712	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
20260624165422335061000			SAPLFCML4H_DOC_COMPRESS	298	3,597.272000000	12.071000000	21.354000000	1,309,480	6,010,898,776	1,397,925,163,088	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
20260624115418063656000			SAPLFCML4H_DOC_COMPRESS	305	3,592.619000000	11.779000000	21.987000000	1,309,448	5,623,693,792	1,318,193,373,592	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
20260624155418188857000			SAPLFCML4H_DOC_COMPRESS	296	3,591.432000000	12.133000000	21.245000000	1,309,480	5,932,756,376	1,372,876,336,992	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
20260624085432794017000			SAPLFCML4H_DOC_COMPRESS	286	3,590.580000000	12.554000000	20.733000000	1,309,448	5,391,697,856	1,247,779,786,328	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
20260624125438048627000			SAPLFCML4H_DOC_COMPRESS	295	3,586.791000000	12.159000000	21.372000000	1,309,448	5,700,783,576	1,297,108,974,560	SELECT /* FDA WRITE */ "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , N'00000000000000000000' , "O" . "CURTP" , SUM( "O" . "QUANT" ) , "O" . "MEINS" , SUM( "O" . "STVAL" ) , SUM( "O" . "VKWRT" ) , "O" . "WAERS" FROM "MLDOC_EXTRACT" "O" INNER JOIN ? "D" ("KALNR" NVARCHAR(12), "JAHRPER" NVARCHAR(7), "DOCREF" NVARCHAR(20), "CURTP" NVARCHAR(2)) ON "O" . "KALNR" = "D" . "KALNR" AND "O" . "JAHRPER" = "D" . "JAHRPER" AND "O" . "DOCREF" = "D" . "DOCREF" AND "O" . "CURTP" = "D" . "CURTP" WHERE "O" . "MANDT" = ? GROUP BY "O" . "MANDT" , "O" . "KALNR" , "O" . "JAHRPER" , "O" . "CURTP" , "O" . "MEINS" , "O" . "WAERS"
